City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,progreso,21.2833,-89.6667,31.73,89,24,3.69,MX,1722814089
167,huarmey,-10.0681,-78.1522,17.97,80,6,4.55,PE,1722814090
168,cidreira,-30.1811,-50.2056,16.29,99,100,2.39,BR,1722814091
169,miri,4.4148,114.0089,24.08,100,40,2.57,MY,1722814092
170,selibaby,15.159,-12.1829,26.31,84,100,6.72,MR,1722814093
171,enewetak,11.3474,162.3373,28.86,76,78,4.23,MH,1722814094
172,al kut,32.5147,45.819,33.93,14,0,4.68,IQ,1722814095
173,kayangel,8.0823,134.7173,28.75,74,96,5.38,PW,1722813853
174,sungailiat,-1.85,106.1333,25.29,80,16,3.77,ID,1722814098
175,gadzhiyevo,69.2551,33.3362,7.37,89,2,1.02,RU,1722814099
176,akureyri,65.6835,-18.0878,12.96,62,75,5.14,IS,1722814101
177,polyarnyy,69.1989,33.4478,7.76,88,2,0.48,RU,1722813807
178,chiang saen,20.2751,100.0869,24.13,100,100,0.45,TH,1722813973
179,ciudad lazaro cardenas,17.9583,-102.2,29.89,67,74,3.64,MX,1722814104
180,encruzilhada do sul,-30.5439,-52.5219,11.83,98,100,5.32,BR,1722814105
181,papatowai,-46.5619,169.4708,8.98,84,54,2.73,NZ,1722814107
182,usoke,-5.1667,32.35,18.37,30,8,1.56,TZ,1722814108
183,vila franca do campo,37.7167,-25.4333,24.23,87,20,1.85,PT,1722814109
184,qamdo,31.1667,97.2333,5.36,78,16,1.06,CN,1722814110
185,ape,57.5393,26.6929,13.73,97,64,1.46,LV,1722814111
186,tavrichanka,43.3378,131.8639,19.92,89,100,7.72,RU,1722814112
187,alotau,-10.3069,150.4462,23.15,94,100,2.39,PG,1722814113
188,castillos,-34.1667,-53.8333,10.76,79,100,2.27,UY,1722814114
189,puerto armuelles,8.2833,-82.8667,28.99,83,100,1.34,PA,1722814116
190,krasyliv,49.6519,26.9725,18.2,61,80,2.73,UA,1722814117
191,parras de la fuente,25.4167,-102.1833,29.63,24,68,8.22,MX,1722814118
192,tazovsky,67.4667,78.7,6.53,75,97,5.26,RU,1722814119
193,puerto leguizamo,-0.1934,-74.7819,23.85,94,88,1.64,CO,1722814120
194,praia da vitoria,38.7333,-27.0667,25.14,88,20,2.68,PT,1722814121
195,saint-pierre,-21.3393,55.4781,17.82,59,0,4.12,RE,1722814122
196,oranjemund,-28.55,16.4333,10.96,81,3,3.2,NA,1722814123
197,tazacorte,28.629,-17.9293,23.42,91,20,6.69,ES,1722814125
198,golitsyno,55.6122,36.9833,17.39,88,0,2.0,RU,1722814126
199,saint george's,12.0564,-61.7485,27.82,83,20,2.57,GD,1722814127
200,uturoa,-16.7333,-151.4333,24.58,70,2,7.46,PF,1722814128
201,portland,45.5234,-122.6762,34.77,29,20,4.63,US,1722813480
202,belmonte,-15.8631,-38.8828,22.14,88,4,3.41,BR,1722814130
203,kidal,18.4411,1.4078,32.12,42,100,3.56,ML,1722814131
204,gonen,40.1049,27.654,24.98,20,1,1.63,TR,1722814132
205,phek,25.6667,94.5,20.25,100,100,0.64,IN,1722814133
206,tabatinga,-4.2525,-69.9381,29.05,74,20,1.03,BR,1722814135
207,fale old settlement,-9.3852,-171.2468,27.64,81,89,6.65,TK,1722814136
208,goondiwindi,-28.55,150.3167,15.84,66,100,5.49,AU,1722814137
209,selfoss,63.9331,-20.9971,11.14,82,100,10.31,IS,1722814138
210,itaituba,-4.2761,-55.9836,31.09,51,0,1.54,BR,1722814139
211,canutama,-6.5339,-64.3831,29.97,46,47,0.97,BR,1722814140
212,el carril,-25.0741,-65.4917,17.47,41,0,1.43,AR,1722814141
213,lihue,21.9789,-159.3672,28.77,63,0,6.69,US,1722814142
214,faqirwali,29.4663,73.034,32.64,57,18,3.78,PK,1722814144
215,culpeper,38.5004,-77.9664,29.79,70,0,1.54,US,1722814145
216,arkalyk,50.2486,66.9114,17.37,61,0,2.7,KZ,1722814146
217,klyuchi,52.2667,79.1667,17.32,80,86,1.84,RU,1722814147
218,princeville,45.7668,-61.2985,24.06,89,100,2.57,CA,1722814148
219,el nido,11.1858,119.3956,25.64,92,99,4.62,PH,1722814149
220,sur,22.5667,59.5289,29.92,66,100,1.99,OM,1722814150
221,alice springs,-23.7,133.8833,7.75,100,100,2.57,AU,1722814152
222,arraial do cabo,-22.9661,-42.0278,21.98,94,20,6.17,BR,1722814153
223,san antonio de pale,-1.4014,5.6325,22.18,73,100,3.65,GQ,1722814154
224,dereli,40.7378,38.4493,21.09,68,0,2.26,TR,1722814155
225,sa kaeo,13.75,102.3333,24.02,97,92,2.76,TH,1722814156
226,nabire,-3.3667,135.4833,24.59,91,100,0.56,ID,1722814157
227,hithadhoo,-0.6,73.0833,28.42,75,100,5.61,MV,1722814158
228,newman,37.3138,-121.0208,39.13,10,0,2.94,US,1722814159
229,kone,-21.0595,164.8658,22.99,46,23,3.15,NC,1722814161
230,pontevedra,42.431,-8.6444,20.01,81,1,2.07,ES,1722813884
231,darwin,-12.4611,130.8418,23.99,83,40,4.12,AU,1722814164
232,yuzhno-kurilsk,44.0306,145.8556,16.45,99,100,1.81,RU,1722814165
233,vilyuchinsk,52.9306,158.4028,17.15,70,50,0.94,RU,1722814166
234,north platte,41.1239,-100.7654,36.73,19,0,6.17,US,1722814167
235,xilin hot,43.9667,116.0333,19.46,59,0,1.34,CN,1722814168
236,pacific grove,36.6177,-121.9166,26.78,89,75,5.14,US,1722814169
237,tabou,4.423,-7.3528,24.49,83,95,2.26,CI,1722814171
238,manismata,-2.4667,111.0333,20.76,98,41,1.28,ID,1722814172
239,thames,-37.1333,175.5333,11.37,63,90,1.77,NZ,1722814173
240,st. john's,47.5649,-52.7093,21.82,95,75,5.66,CA,1722814174
241,kayyerkan,69.3786,87.7439,6.91,73,0,7.96,RU,1722814175
242,mamuju,-2.6748,118.8885,25.38,87,31,2.07,ID,1722814176
243,leiyang,26.4024,112.8591,28.17,83,2,1.08,CN,1722814177
244,jaffa,32.0504,34.7522,27.09,73,0,2.57,IL,1722814178
245,odda,60.0691,6.5457,15.43,92,76,0.67,NO,1722814180
246,kerikeri,-35.2268,173.9474,13.27,67,100,2.05,NZ,1722814182
247,fairbanks,64.8378,-147.7164,24.14,52,0,2.57,US,1722814183
248,amancio,20.8257,-77.5799,29.72,69,83,1.37,CU,1722814184
249,benghazi,32.1167,20.0667,27.62,72,0,4.26,LY,1722813914
250,uchiza,-8.4592,-76.4633,26.33,62,22,1.0,PE,1722814188
251,shenjiamen,29.9576,122.298,28.21,86,29,4.41,CN,1722814189
252,rio grande,-32.035,-52.0986,14.06,95,100,6.45,BR,1722814190
253,morinville,53.8001,-113.652,22.92,60,40,6.17,CA,1722814191
254,sassandra,4.95,-6.0833,23.39,85,94,1.74,CI,1722814192
255,laem sing,12.4816,102.0738,26.7,100,100,0.92,TH,1722814193
256,labytnangi,66.6572,66.4183,9.38,60,100,9.88,RU,1722814194
257,port macquarie,-31.4333,152.9167,15.6,79,100,2.24,AU,1722814195
258,touros,-5.1989,-35.4608,24.13,78,5,6.15,BR,1722814196
259,al mindak,20.1588,41.2834,22.78,71,92,1.01,SA,1722814198
260,shakawe,-18.3667,21.85,16.15,13,0,0.62,BW,1722814199
261,mizdah,31.4451,12.9801,24.33,69,0,4.0,LY,1722814200
262,djenne,13.9061,-4.5533,26.26,79,100,4.7,ML,1722814201
263,utrik,11.2278,169.8474,28.54,79,61,6.29,MH,1722814202
264,fisterra,42.9049,-9.2629,19.3,93,0,4.53,ES,1722814203
265,tolanaro,-25.0319,46.9987,21.04,78,20,7.2,MG,1722814205
266,ciudad melchor muzquiz,27.8833,-101.5167,35.92,25,21,4.98,MX,1722814204
267,lazaro cardenas,17.9583,-102.2,29.35,72,79,3.56,MX,1722814207
268,kiunga,-6.1219,141.2906,23.48,92,100,1.66,PG,1722814208
269,puerto baquerizo moreno,-0.9,-89.6,20.15,82,55,5.6,EC,1722814018
270,ulladulla,-35.35,150.4667,14.34,55,100,1.58,AU,1722814210
271,port lincoln,-34.7333,135.8667,12.18,74,81,1.57,AU,1722814211
272,minas de marcona,-15.2119,-75.1103,10.97,85,14,5.7,PE,1722814213
273,mar del plata,-38.0023,-57.5575,10.53,73,0,4.47,AR,1722813962
274,fuxin,42.0156,121.6589,22.56,99,94,2.07,CN,1722814215
275,albania,41.0,20.0,22.27,67,26,0.73,AL,1722814216
276,sao jose da coroa grande,-8.8978,-35.1478,23.65,80,37,6.6,BR,1722814217
277,san luis de la loma,17.2706,-100.8939,28.78,77,86,3.56,MX,1722814218
278,lundazi,-12.2929,33.1782,14.45,52,2,2.87,ZM,1722814219
279,bel ombre,-4.6167,55.4167,25.91,83,40,3.6,SC,1722814220
280,kristiansund,63.1115,7.732,16.03,93,100,0.0,NO,1722814222
281,flying fish cove,-10.4217,105.6791,23.82,94,100,3.6,CX,1722814223
282,paramirim,-13.4425,-42.2389,22.11,55,62,3.34,BR,1722814224
283,trinidad,-14.8333,-64.9,26.99,74,75,2.06,BO,1722813698
284,gopalpur,19.2667,84.9167,27.33,85,92,1.89,IN,1722814226
285,novyy urgal,51.0736,132.5642,14.97,94,100,1.88,RU,1722814227
286,kendari,-3.945,122.4989,23.94,92,92,0.87,ID,1722814228
287,nishinoomote,30.7333,131.0,30.31,84,75,2.57,JP,1722814229
288,zeribet el oued,34.6828,6.5111,31.91,23,0,4.22,DZ,1722814231
289,kilindoni,-7.9139,39.6668,24.51,70,0,5.67,TZ,1722814232
290,porvoo,60.3923,25.6651,16.24,95,61,1.81,FI,1722814233
291,plettenberg bay,-34.0527,23.3716,8.44,70,34,4.65,ZA,1722814234
292,saipan,15.1355,145.701,29.39,84,0,4.63,MP,1722814235
293,bermejo,-32.8833,-68.8,13.95,30,0,1.03,AR,1722814236
294,romagnat,45.7288,3.0989,15.01,88,0,1.54,FR,1722814237
295,al majaridah,19.1236,41.9111,31.65,57,98,1.31,SA,1722814238
296,hinton,53.4001,-117.5857,14.25,97,100,2.2,CA,1722814240
297,nadym,65.5333,72.5167,12.84,65,100,7.64,RU,1722814241
298,uliastay,47.7417,96.8444,15.12,56,0,1.82,MN,1722814242
299,al bardiyah,31.7561,25.0865,25.5,79,0,4.93,LY,1722814243
300,san patricio,28.017,-97.5169,33.08,51,4,6.57,US,1722814244
301,keflavik,64.0049,-22.5624,11.95,87,100,7.72,IS,1722814245
302,magadan,59.5667,150.8,15.64,72,12,1.15,RU,1722814246
303,ayorou,14.7308,0.9174,28.1,64,100,4.57,NE,1722814247
304,laojunmiao,39.8333,97.7333,24.18,19,60,1.61,CN,1722814249
305,esqueda,30.7167,-109.5833,35.29,21,88,2.18,MX,1722814250
306,kolonia,50.9333,6.95,18.3,84,0,1.03,DE,1722814046
307,ghadamis,30.1337,9.5007,28.04,47,0,4.96,LY,1722814252
308,puri,19.8,85.85,29.29,83,100,3.56,IN,1722814253
309,tsiombe,-25.3,45.4833,16.25,94,0,1.71,MG,1722814254
310,arnemuiden,51.5,3.6761,18.99,80,100,1.99,NL,1722814255
311,kimbe,-5.5502,150.1429,27.96,77,100,1.53,PG,1722814256
312,meadow lakes,61.6247,-149.6011,20.21,70,0,0.89,US,1722814258
313,gordonvale,-17.0936,145.7842,19.97,99,16,2.19,AU,1722814259
314,machico,32.7,-16.7667,23.35,68,20,4.12,PT,1722814260
315,ocos,14.5094,-92.1933,25.1,73,38,2.61,GT,1722814261
316,rechka-vydrino,51.485,104.8461,16.31,91,99,1.51,RU,1722814262
317,devils lake,48.1128,-98.8651,21.08,62,75,4.63,US,1722814263
318,jaffna,9.6685,80.0074,26.78,84,34,3.16,LK,1722814264
319,neon karlovasion,37.7903,26.7044,28.28,56,0,3.01,GR,1722814266
320,laghouat,33.8,2.8651,27.8,16,0,2.54,DZ,1722814267
321,mount pearl,47.5166,-52.7813,21.36,95,75,5.66,CA,1722814268
322,tofol,5.3248,163.0078,30.88,70,75,2.57,FM,1722814269
323,orsa,54.5153,30.4053,13.06,88,43,2.04,BY,1722814270
324,mount gambier,-37.8333,140.7667,9.8,59,87,1.61,AU,1722814271
325,arraias,-12.9288,-46.9437,21.78,27,0,2.65,BR,1722814272
326,moussoro,13.6408,16.4901,24.16,84,100,4.88,TD,1722814273
327,santiago de cao,-7.9589,-79.2392,17.07,88,25,4.12,PE,1722814275
328,mo i rana,66.3128,14.1428,17.4,79,100,1.03,NO,1722814276
329,imperia,43.9667,7.7833,24.36,63,96,3.07,IT,1722814277
330,slaton,33.4373,-101.6435,36.34,20,17,4.53,US,1722814278
331,luena,-11.7833,19.9167,16.01,28,23,0.8,AO,1722814279
332,mersa matruh,31.3525,27.2453,26.11,83,0,3.09,EG,1722814280
333,bodo,67.28,14.405,18.76,70,0,5.14,NO,1722814283
334,geiro,-6.15,36.8667,12.44,89,2,1.6,TZ,1722814284
335,antonio enes,-16.2325,39.9086,19.84,85,44,0.82,MZ,1722814285
336,tadine,-21.55,167.8833,21.91,52,48,6.35,NC,1722814286
337,chichimila,20.6167,-88.2167,27.04,75,85,1.22,MX,1722814287
338,fort bragg,35.139,-79.006,26.08,89,0,2.57,US,1722814288
339,soto la marina,23.7667,-98.2167,30.28,62,2,4.59,MX,1722814290
340,sechura,-5.5569,-80.8222,19.44,71,45,7.7,PE,1722814291
341,el granada,37.5027,-122.4694,26.27,70,20,8.75,US,1722814292
